bit,metric,errorrate
1,1,0.022243250000000003
1,2,0.000014250000000000002
1,3,0.00001
1,4,0.000009999999999999997
1,5,0.0000105
1,6,0.00000975
1,7,0.00000975
1,8,0.000009999999999999997
1,9,0.00000975
1,10,0.00000975
1,11,0.0000105
1,12,0.000009999999999999997
1,13,0.000010249999999999998
1,14,0.00000975
1,15,0.000010249999999999998
1,16,0.00000975
1,17,0.00001
1,18,0.00000975
1,19,0.000010249999999999998
1,20,0.00000975
1,21,0.00001
1,22,0.000009999999999999997
1,23,0.00001
1,24,0.00000975
1,25,0.000010249999999999998
1,26,0.000009999999999999997
1,27,0.000010249999999999998
1,28,0.00000975
1,29,0.000010249999999999998
1,30,0.00000975
1,31,0.000010249999999999998
1,32,0.00000975
1,33,0.000010499999999999998
1,34,0.00000975
1,35,0.000010249999999999998
1,36,0.00000975
1,37,0.000010249999999999998
1,38,0.00000975
1,39,0.000010249999999999998
1,40,0.000009999999999999997
1,41,0.000010249999999999998
1,42,0.00000975
1,43,0.000010249999999999998
1,44,0.00000975
1,45,0.000010249999999999998
1,46,0.00000975
1,47,0.000010249999999999998
1,48,0.00000975
1,49,0.000010249999999999998
1,50,0.00000975
1,51,0.000010249999999999998
1,52,0.00000975
1,53,0.000010249999999999998
1,54,0.00000975
1,55,0.00001
1,56,0.00000975
1,57,0.00001
1,58,0.00000975
1,59,0.00001
1,60,0.00000975
1,61,0.00001
1,62,0.00000975
1,63,0.00001
1,64,0.00000975
1,65,0.00001
1,66,0.00000975
1,67,0.00001
1,68,0.00000975
1,69,0.00000975
1,70,0.00000975
1,71,0.00000975
1,72,0.00000975
1,73,0.00000975
1,74,0.00000975
1,75,0.00000975
1,76,0.00000975
1,77,0.00000975
1,78,0.00000975
1,79,0.00000975
1,80,0.00000975
1,81,0.00000975
1,82,0.00000975
1,83,0.00000975
1,84,0.00000975
1,85,0.00000975
1,86,0.00000975
1,87,0.00000975
1,88,0.00000975
1,89,0.00000975
1,90,0.00000975
1,91,0.00000975
1,92,0.00000975
1,93,0.00000975
1,94,0.00000975
1,95,0.00000975
1,96,0.00000975
1,97,0.00000975
1,98,0.00000975
1,99,0.00000975
2,1,0.04037575
2,2,0.0019003750000000002
2,3,0.0005882500000000001
2,4,0.000302375
2,5,0.00016912500000000003
2,6,0.00018262499999999998
2,7,0.000155375
2,8,0.0001788749999999999
2,9,0.00014725
2,10,0.00014850000000000003
2,11,0.00016112500000000003
2,12,0.00013074999999999998
2,13,0.00016512500000000007
2,14,0.000126
2,15,0.00013474999999999997
2,16,0.0001355000000000001
2,17,0.000121
2,18,0.00010562499999999999
2,19,0.00011887499999999999
2,20,0.000124875
2,21,0.00011762500000000004
2,22,0.000117875
2,23,0.00011412500000000002
2,24,0.00012362499999999998
2,25,0.00010900000000000002
2,26,0.00011912500000000005
2,27,0.00010850000000000002
2,28,0.00010825
2,29,0.000114125
2,30,0.00012175000000000003
2,31,0.00012525
2,32,0.00011762500000000003
2,33,0.00011750000000000002
2,34,0.00011537500000000003
2,35,0.00011350000000000001
2,36,0.00009987500000000002
2,37,0.000107
2,38,0.00010662500000000003
2,39,0.000114375
2,40,0.000117875
2,41,0.00011012500000000002
2,42,0.00011575000000000002
2,43,0.000103
2,44,0.00011749999999999998
2,45,0.00010887499999999999
2,46,0.00011012499999999997
2,47,0.00011212499999999999
2,48,0.000111875
2,49,0.00011425000000000004
2,50,0.000113625
2,51,0.00011625000000000002
2,52,0.00011674999999999999
2,53,0.00010924999999999999
2,54,0.000106
2,55,0.00010712499999999997
2,56,0.00010125000000000001
2,57,0.00010925000000000001
2,58,0.00010650000000000003
2,59,0.00010999999999999999
2,60,0.00011375000000000001
2,61,0.00011075000000000001
2,62,0.00011337499999999996
2,63,0.00010950000000000003
2,64,0.00010712500000000003
2,65,0.00011287500000000002
2,66,0.00011275000000000002
2,67,0.00010937500000000002
2,68,0.00011537500000000003
2,69,0.00011362499999999997
2,70,0.000111875
2,71,0.000100875
2,72,0.00010475000000000001
2,73,0.000110375
2,74,0.00010587500000000001
2,75,0.00010937499999999999
2,76,0.00011049999999999999
2,77,0.00011012500000000002
2,78,0.00010950000000000002
2,79,0.00010637499999999997
2,80,0.00011724999999999999
2,81,0.00011350000000000001
2,82,0.000111625
2,83,0.00011075000000000004
2,84,0.00010799999999999998
2,85,0.00010787499999999998
2,86,0.00010887499999999998
2,87,0.00010737500000000002
2,88,0.000109875
2,89,0.00010950000000000002
2,90,0.00010687500000000004
2,91,0.00010974999999999998
2,92,0.00010762499999999997
2,93,0.00010775
2,94,0.00010687499999999997
2,95,0.000111
2,96,0.00011062500000000003
2,97,0.000110375
2,98,0.000109625
2,99,0.00010712500000000002
3,1,0.06896891666666666
3,2,0.02489716666666668
3,3,0.018467
3,4,0.015993499999999997
3,5,0.015104000000000001
3,6,0.014733833333333333
3,7,0.014449333333333337
3,8,0.014154416666666671
3,9,0.0141005
3,10,0.014015083333333334
3,11,0.013834583333333334
3,12,0.013914583333333336
3,13,0.013823916666666668
3,14,0.013783916666666668
3,15,0.013721583333333334
3,16,0.013762916666666666
3,17,0.013756666666666672
3,18,0.013742666666666665
3,19,0.013674333333333333
3,20,0.013668333333333336
3,21,0.013637083333333338
3,22,0.013624416666666665
3,23,0.013638333333333339
